BEN205,46,Snj,ST 02:40 PM - 04:10 PM,NAC509,40(40)
BEN205,47,CcK,RA 01:00 PM - 02:30 PM,NAC509,40(40)
BIO103,1,MNU1,ST 08:00 AM - 09:30 AM,SAC405,40(40)
BIO103,2,SKK,ST 09:40 AM - 11:10 AM,SAC407,40(40)
BIO103,3,MjH1,ST 01:00 PM - 02:30 PM,SAC405,45(45)
BIO103,4,KFR,ST 01:00 PM - 02:30 PM,SAC209,40(40)
BIO103,5,MmN1,ST 02:40 PM - 04:10 PM,SAC407,40(40)
BIO103,6,FZd,ST 04:20 PM - 05:50 PM,SAC403,39(40)
BIO103,7,AIq,ST 04:20 PM - 05:50 PM,SAC404,40(40)
BIO103,8,MjH1,MW 11:20 AM - 12:50 PM,SAC209,40(40)
BIO103,9,AIq,MW 01:00 PM - 02:30 PM,SAC406,45(45)
BIO103,10,MjH1,MW 02:40 PM - 04:10 PM,SAC209,40(40)
BIO103,11,ShTK,MW 04:20 PM - 05:50 PM,SAC404,40(40)
BIO103,12,FZd,MW 04:20 PM - 05:50 PM,SAC405,25(40)
BIO103,13,MNU1,MW 04:20 PM - 05:50 PM,SAC406,28(40)
BIO103,15,LtB,RA 08:00 AM - 09:30 AM,SAC406,40(40)
BIO103,16,RbA,RA 09:40 AM - 11:10 AM,SAC404,45(45)
BIO103,17,APz,RA 09:40 AM - 11:10 AM,SAC406,40(40)
BIO103,18,PyN,RA 11:20 AM - 12:50 PM,SAC404,40(40)
BIO103,19,KFR,RA 11:20 AM - 12:50 PM,SAC405,40(40)
BIO103,20,LtB,RA 11:20 AM - 12:50 PM,SAC406,45(45)
BIO103,21,RbA,RA 01:00 PM - 02:30 PM,SAC406,40(40)
BIO103,22,HiM,RA 02:40 PM - 04:10 PM,SAC404,36(40)
BIO103,23,SMd1,RA 01:00 PM - 02:30 PM,NAC209,40(40)
BIO103,24,CAK,ST 08:00 AM - 09:30 AM,NAC301,40(40)
BIO103,25,Mfz,MW 08:00 AM - 09:30 AM,NAC301,40(40)
BIO103,26,KNH,ST 02:40 PM - 04:10 PM,SAC404,40(40)
BIO103L,1,MjH1,S 09:40 AM - 12:50 PM,SAC415,20(20)
BIO103L,2,MjH1,S 09:40 AM - 12:50 PM,SAC415_v,20(20)
BIO103L,3,MjH1,S 09:40 AM - 12:50 PM,SAC415_v2,20(20)
BIO103L,4,Klq,S 01:00 PM - 04:10 PM,SAC415,20(20)
BIO103L,5,Klq,S 01:00 PM - 04:10 PM,SAC415_v,20(20)
BIO103L,6,Klq,S 01:00 PM - 04:10 PM,SAC415_v2,20(20)
BIO103L,7,Klq,S 01:00 PM - 04:10 PM,LAB1,20(20)
BIO103L,8,Klq,S 01:00 PM - 04:10 PM,LAB2,20(20)
BIO103L,9,Klq,T 01:00 PM - 04:10 PM,SAC415,20(20)
BIO103L,10,ShTK,T 01:00 PM - 04:10 PM,SAC415_v,20(20)
BIO103L,11,ShTK,T 01:00 PM - 04:10 PM,SAC415_v2,20(20)
BIO103L,12,ShTK,T 01:00 PM - 04:10 PM,LAB1,20(20)
BIO103L,13,SKK,M 09:40 AM - 12:50 PM,SAC415,20(20)
BIO103L,14,SKK,M 09:40 AM - 12:50 PM,SAC415_v,20(20)
BIO103L,15,SKK,M 01:00 PM - 04:10 PM,SAC415_v,20(20)
BIO103L,16,RbA,M 01:00 PM - 04:10 PM,SAC415,20(20)
BIO103L,17,RbA,M 01:00 PM - 04:10 PM,LAB3,20(20)
BIO103L,18,RbA,M 01:00 PM - 04:10 PM,SAC415_v2,20(20)
BIO103L,19,CAK,W 01:00 PM - 04:10 PM,SAC415,20(20)
BIO103L,20,CAK,W 01:00 PM - 04:10 PM,SAC415_v,20(20)
