CEG413,1,Sfm
CEG413,2,Sfm
CHE101,1,SB
CHE101,2,SB
CHE101,3,ZaF
CHE101,4,AIq
CHE101,5,ZaF
CHE101,6,TTb
CHE101,7,ZaF
CHE101,8,SB
CHE101,9,ACR
CHE101,10,AIq
CHE101,11,TTb
CHE101,12,MKr
CHE101,13,MH1
CHE101,14,MKr
CHE101,15,Mtn2
CHE101,16,ZaF
CHE101,17,Mtn2
CHE101,18,5-Mar
CHE101L,1,ACR
CHE101L,2,ACR
CHE101L,3,ACR
CHE101L,4,ACR
CHE101L,5,ACR
CHE101L,7,Klq
CHE101L,8,Klq
CHE101L,9,Klq
CHE101L,10,MH1
CHE101L,11,MH1
CHE101L,13,MH1
CHE101L,14,MH1
CHE101L,15,MH1
CHE101L,16,MH1
CHE101L,17,AYS
CHE101L,18,AYS
CHE101L,19,ACR
CHE120,1,SEq
CHE201,1,IJn
CHE201,2,MH1
CHE201,3,AYS
CHE202,1,MSH3
CHE202,2,MSH3
CHE202L,1,MSH3
CHE202L,2,MSH3
CHE202L,3,MSH3
CHE203,1,5-Mar
CHE203L,1,ACh
CHN101,1,Rbt
CHN101,3,Rbt
CHN101,4,Rbt
CHN201,1,Rbt
CSE115,1,TmM
CSE115,2,MLE
CSE115,3,MLE
CSE115,4,Rsl
CSE115,5,Rsl
CSE115,6,RjP
CSE115,7,HSM
CSE115,8,HSM
CSE115,9,RRa
CSE115,10,AKR
CSE115,11,AKR
CSE115,12,Mfs
CSE115,13,Mfs
CSE115,14,Srb
CSE115,15,Srb
CSE115,16,MMk1
CSE115,17,MMk1
CSE115,18,SFl
CSE115,19,SFl
CSE115,20,FAF1
CSE115,21,FdM
CSE115L,1,TmM
CSE115L,2,MLE
CSE115L,3,MLE
CSE115L,4,Rsl
CSE115L,5,Rsl
CSE115L,6,RjP
CSE115L,7,HSM
CSE115L,8,HSM
CSE115L,9,RRa
CSE115L,10,AKR
CSE115L,11,AKR
CSE115L,12,Mfs
CSE115L,13,Mfs
CSE115L,14,Srb
CSE115L,15,Srb
CSE115L,16,MMk1
CSE115L,17,MMk1
CSE115L,18,SFl
CSE115L,19,SFl
CSE115L,20,FAF1
CSE115L,21,FdM
CSE173,1,RRn
CSE173,2,SAm
CSE173,3,RRn
CSE173,4,SAm
CSE173,5,MSK1
CSE173,6,MSK1
CSE173,7,MSK1
CSE173,8,AdF
CSE173,9,AdF
CSE173,10,TCw
CSE173,13,SfT
CSE215,1,RjP
CSE215,2,Mib
CSE215,3,CFA
CSE215,4,CFA
CSE215,5,FAF1
CSE215,6,FAF1
CSE215,7,BMH
CSE215,8,BMH
CSE215,9,MRH1
CSE215,10,MRH1
CSE215,11,AlK1
CSE215,12,SAM3
CSE215,13,SAM3
CSE215,15,NRM
CSE215,16,Mib
CSE215L,1,RjP
CSE215L,2,Mib
CSE215L,3,CFA
CSE215L,4,CFA
CSE215L,5,FAF1
CSE215L,6,FAF1
CSE215L,7,BMH
CSE215L,8,BMH
CSE215L,9,MRH1
CSE215L,10,MRH1
CSE215L,11,AlK1
CSE215L,12,SAM3
CSE215L,13,SAM3
CSE215L,15,NRM
CSE215L,16,Mib
CSE225,1,ARa2
